agency_name,agency_telephone,agency_email,agency_website,trusted_choice_url,street,locality,region,postal_code,founding_date,auto_insurance,home_insurance
"Everett J O'Connor Insurance Agency, Inc",(860) 388-3549,,http://www.ejoconnorinsurance.com,https://www.trustedchoice.com/agency-profile/389461/everett-j-o-connor-insurance-agency-inc/,50 Pond Rd,Old Saybrook,CT,06475-2145,,0,0
Bouvier Insurance,(860) 434-1611,sgendron@binsurance.com,http://www.binsurance.com,https://www.trustedchoice.com/agency-profile/711065/bouvier-insurance/,80 Halls Rd,Old Lyme,CT,06371,1959,0,0
B. P. Learned & Co.,(860) 889-8381,,,https://www.trustedchoice.com/agency-profile/103793/b-p-learned-co/,606 W Main St Ste 2,Norwich,CT,06360-6000,,0,0
HUB International New England LLC,(860) 886-1400,,,https://www.trustedchoice.com/agency-profile/257282/hub-international-new-england-llc/,124 W Town St,Norwich,CT,06360-2125,,0,0
"Byrnes Agency, Inc",(844) 538-2294,info@byrnesagency.com,https://www.byrnesagency.com/,https://www.trustedchoice.com/agency-profile/727137/byrnes-agency-inc/,6 Consumers Ave,Norwich,CT,06360-7521,1932,1,1
USI Insurance Services LLC,(203) 854-3406,,,https://www.trustedchoice.com/agency-profile/1177943/usi-insurance-services-llc/,40 Richards Ave,Norwalk,CT,06854-2319,,0,0
"Roland Dumont Agency, Inc.",(844) 507-2340,mattdumont@dumontagency.com,http://www.dumontagency.com,https://www.trustedchoice.com/agency-profile/103458/roland-dumont-agency-inc/,985 Farmington Ave Ste 1,Bristol,CT,06010-3973,1956,0,0
"Griffith E. Harris Insurance Services, LLC",(203) 869-9200,,http://www.griffitheharris.com,https://www.trustedchoice.com/agency-profile/221072/griffith-e-harris-insurance-services-llc/,137 E Putnam Ave,Cos Cob,CT,06807,,0,0
NS Davis Agency LLC,(203) 348-4710,,,https://www.trustedchoice.com/agency-profile/357957/ns-davis-agency-llc/,680 E Main St,Stamford,CT,06901-2113,,0,0
David G. Evans,(703) 304-3540,,http://www.401ksleuth.com,https://www.trustedchoice.com/agency-profile/1353874/david-g-evans/,127 Greyrock Pl Apt 1412,Stamford,CT,06901-3115,,0,0
"Fairfield County Bank Insurance Services, LLC",(203) 256-8888,,http://www.connellyinsurance.com,https://www.trustedchoice.com/agency-profile/103983/fairfield-county-bank-insurance-services-llc/,16 Sherman Court ,Fairfield,CT,06824,,1,1
AssuredPartners Northeast. LLC,(203) 454-7778,,,https://www.trustedchoice.com/agency-profile/1095730/assuredpartners-northeast-llc/,728 Post Rd E,Westport,CT,06880-5200,,0,0
"Double Eagle Agency of CT, LLC",(203) 222-2222,,http://www.doubleeagleagency.com,https://www.trustedchoice.com/agency-profile/1336947/double-eagle-agency-of-ct-llc/,1555 Post Rd E Ste 201,Westport,CT,06880-5668,,1,1
James H. Kinnally Insurance Agency,(203) 227-5854,,,https://www.trustedchoice.com/agency-profile/104131/james-h-kinnally-insurance-agency/,980 Post Rd E,Westport,CT,06880-5300,,0,0
The Russell Agency LLC,(203) 255-2877,,http://www.therussellagency.com,https://www.trustedchoice.com/agency-profile/1353486/the-russell-agency-llc/,317 Pequot Ave,Southport,CT,06890-1360,,1,1
"Mitchell Insurance, Inc.",(203) 264-8633,,http://www.mitchellinsurance.com,https://www.trustedchoice.com/agency-profile/103918/mitchell-insurance-inc/,617 South Britain Rd.,Southbury,CT,06488,,0,0
"Thomas M. Burgess & Company, Inc.",(860) 644-2534,,http://www.tmburgessins.com,https://www.trustedchoice.com/agency-profile/103557/thomas-m-burgess-company-inc/,828 Sullivan Ave,South Windsor,CT,06074-2093,,1,0
Newberry Insurance Agency Inc.,(860) 648-6330,,http://www.newberryagency.com,https://www.trustedchoice.com/agency-profile/103555/newberry-insurance-agency-inc/,1760 Ellington Rd,South Windsor,CT,06074-2777,,1,0
"Wm G. Kerr Agency, Inc.",(860) 651-3325,,http://www.kerrinsurance.com,https://www.trustedchoice.com/agency-profile/103546/wm-g-kerr-agency-inc/,736 Hopmeadow St,Simsbury,CT,06070-2202,,0,0
"Wilson Agency A Division of Starkweather & Shepley Insurance Brokerage, Inc (CT)",(203) 735-5115,,http://www.starshep.com,https://www.trustedchoice.com/agency-profile/1337996/wilson-agency-a-division-of-starkweather-shepley-insurance-brokerage-inc-ct/,375 Bridgeport Ave,Shelton,CT,06484-3844,,0,0
"AssuredPartners Northeast, LLC",,,,https://www.trustedchoice.com/agency-profile/1407554/assuredpartners-northeast-llc/,100 Beard Sawmill Rd Fl 5,Shelton,CT,06484-6175,,0,0
"MBI Company Group, LLC",,,,https://www.trustedchoice.com/agency-profile/1422121/mbi-company-group-llc/,2 Long Hill Ave,Shelton,CT,06484-3215,,0,0
William Raveis Insurance Agency,(203) 925-4590,ray.cashen@raveis.com,http://www.raveisinsurance.com,https://www.trustedchoice.com/agency-profile/1037614/william-raveis-insurance-agency/,7 Trap Falls Rd,Shelton,CT,06484-4617,,0,0
"Ferguson & McGuire, Inc.",(203) 735-1823,,,https://www.trustedchoice.com/agency-profile/717807/ferguson-mcguire-inc/,1077 Bridgeport Ave Ste 100,Shelton,CT,06484,,0,0
Prindle Insurance Agency,(860) 364-5000,,,https://www.trustedchoice.com/agency-profile/103544/prindle-insurance-agency/,22 W Main St,Sharon,CT,06069,,0,0
"AssuredPartners Northeast, LLC",(860) 225-7721,receptionist1@jroinsure.com,http://www.jroinsure.com,https://www.trustedchoice.com/agency-profile/103522/assuredpartners-northeast-llc/,200 Corporate Pl Ste 220,Rocky Hill,CT,06067-1861,1906,0,0
Catarino-Casale Insurance Associates,(860) 721-1263,,,https://www.trustedchoice.com/agency-profile/270056/catarino-casale-insurance-associates/,2321 Silas Deane Hwy Ste 3,Rocky Hill,CT,06067-2331,,0,0
"Brown & Brown of CT, Inc.",(860) 665-8459,,http://www.bbconnecticut.com,https://www.trustedchoice.com/agency-profile/1182286/brown-brown-of-ct-inc/,55 Capital Blvd. Suite 102,Rocky Hill,CT,06067,,0,0
"The McMahon Company, Inc.",(860) 563-2838,,http://www.mcmahoncompany.com,https://www.trustedchoice.com/agency-profile/103543/the-mcmahon-company-inc/,46 Church St,Rocky Hill,CT,06067-1516,,0,0
"Great Point Insurance Services, Inc.",(877) 505-3226,,http://www.greatpointins.com,https://www.trustedchoice.com/agency-profile/710959/great-point-insurance-services-inc/,500 W Putnam Ave Ste 400,Greenwich,CT,06830,,0,0
"The Elkanah Mead Agency, Inc.",(203) 869-0302,,,https://www.trustedchoice.com/agency-profile/1407179/the-elkanah-mead-agency-inc/,87 Greenwich Ave Ste 1,Greenwich,CT,06830-5521,,0,0
"Troy Insurance, Inc.",(203) 324-3143,,http://www.troyinsurance.com,https://www.trustedchoice.com/agency-profile/104172/troy-insurance-inc/,29 Hoyt St,Stamford,CT,06905-5605,,0,0
"Hagendoorn & Emond Insurance, Inc.",(203) 324-1000,,http://www.heinsurance.com,https://www.trustedchoice.com/agency-profile/203719/hagendoorn-emond-insurance-inc/,1200 Summer St Ste 301,Stamford,CT,06905,,1,0
JM Layton,(203) 284-3215,,,https://www.trustedchoice.com/agency-profile/1414790/jm-layton/,83 East Ave Ste 210,Norwalk,CT,06851-4902,,0,0
"USI Insurance Services, LLC",(203) 853-3429,Deborah.Accorso@usi.com,http://www.usi.com,https://www.trustedchoice.com/agency-profile/140557/usi-insurance-services-llc/,40 Richards Ave Ste 1,Norwalk,CT,06854-2320,1998,0,0
William Carroll Insurance Agency,(203) 866-8663,,,https://www.trustedchoice.com/agency-profile/104104/william-carroll-insurance-agency/,34 Wall St,Norwalk,CT,06850-3429,,0,0
HUB International New England LLC / Fairfield,,,,https://www.trustedchoice.com/agency-profile/1363821/hub-international-new-england-llc-fairfield/,777 Commerce Dr,Fairfield,CT,06825-5500,,0,0
"AssuredPartners Northeast, LLC dba Golden, O'Neill & Gebhardt, Inc.",(203) 454-7778,,,https://www.trustedchoice.com/agency-profile/1414261/assuredpartners-northeast-llc-dba-golden-o-neill-gebhardt-inc/,555 Long Wharf Dr,New Haven,CT,06511-6107,,0,0
Darton & Golden O'Neill & Gebhardt,(203) 454-7778,,,https://www.trustedchoice.com/agency-profile/1414262/darton-golden-o-neill-gebhardt/,555 Long Wharf Dr,New Haven,CT,06511-6107,,0,0
"Abbate Insurance Associates, Inc.",(844) 470-5748,lanthony@abbateins.com,http://www.abbateins.com,https://www.trustedchoice.com/agency-profile/294046/abbate-insurance-associates-inc/,671 State St,New Haven,CT,06511-6509,1975,1,0
"Koverage Insurance Group, LLC",(860) 745-4222,,,https://www.trustedchoice.com/agency-profile/1419494/koverage-insurance-group-llc/,4 Bridge St,New Hartford,CT,06057-2120,,0,0
"Cross Insurance, Inc Connecticut",(203) 966-0660,,,https://www.trustedchoice.com/agency-profile/1384696/cross-insurance-inc-connecticut/,49 Pine St,New Canaan,CT,06840-5409,,0,0
"Cross Insurance, Inc Connecticut",(203) 966-2677,,http://www.randinsurance.com,https://www.trustedchoice.com/agency-profile/104098/cross-insurance-inc-connecticut/,51 Locust Ave Ste 204,New Canaan,CT,06840-4739,,1,1
Connecticut Auto Insurance Brokerage of New Britain LLC,(860) 826-7800,,,https://www.trustedchoice.com/agency-profile/885565/connecticut-auto-insurance-brokerage-of-new-britain-llc/,55 Myrtle St,New Britain,CT,06051-1859,,0,0
Insurance Associates,(860) 225-4694,,,https://www.trustedchoice.com/agency-profile/103520/insurance-associates/,74 Vine St,New Britain,CT,06052,,0,0
Ferguson McGuire,(860) 536-2644,,,https://www.trustedchoice.com/agency-profile/103790/ferguson-mcguire/,3 Gravel St,Mystic,CT,06355-2511,,0,0
"Switz Agency, Inc.",(860) 572-9501,switzins@sbcglobal.net,,https://www.trustedchoice.com/agency-profile/103791/switz-agency-inc/,9 Masons Island Rd Ste 2,Mystic,CT,06355-2977,,0,0
Duble & O'Hearn,(203) 789-0100,support@trustedchoice.com,http://www.duble-ohearn.com,https://www.trustedchoice.com/agency-profile/103948/duble-o-hearn/,555 Long Wharf Dr Fl 6,New Haven,CT,06511-6107,,0,0
Sound Insurance Services Inc,(860) 449-5905,,,https://www.trustedchoice.com/agency-profile/103789/sound-insurance-services-inc/,11 Masons Island Rd Ste 3,Mystic,CT,06355-2976,,0,0
"Adam Miller Agency, LLC",(203) 261-5090,adam@adammilleragency.com,http://www.adammilleragency.com,https://www.trustedchoice.com/agency-profile/212482/adam-miller-agency-llc/,227 Monroe Tpke Ste 2,Monroe,CT,06468-6202,1993,0,1
"Como & Nicholson, Inc.",(203) 445-8388,,http://www.como-nicholson.com,https://www.trustedchoice.com/agency-profile/103987/como-nicholson-inc/,501 Main St Ste D,Monroe,CT,06468-1116,,0,0
"Berliner Gelfand & Co., Inc.",(203) 367-7704,andy@berlinerinsurance.com,,https://www.trustedchoice.com/agency-profile/103990/berliner-gelfand-co-inc/,"188 Main St., Suite A",Monroe,CT,06468,1965,0,0
Williams Agency,(203) 874-2581,TLwilliams@williamsagencyins.com,http://www.williamsagencyins.com,https://www.trustedchoice.com/agency-profile/103885/williams-agency/,152 Broad St Ste 1,Milford,CT,06460-4759,,1,1
Barth Insurance Agency Inc.,(203) 878-3181,,http://www.barthinsurance.com,https://www.trustedchoice.com/agency-profile/103648/barth-insurance-agency-inc/,100F Lansdale Ave,Milford,CT,06460-5156,,1,1
"Nicholson Associates, Inc.",(203) 877-2741,d.williams@nicholsonassoc.com,http://www.nicholsonassoc.com,https://www.trustedchoice.com/agency-profile/103884/nicholson-associates-inc/,395 New Haven Ave,Milford,CT,06460-6649,1958,0,0
"Koverage Insurance Group, LLC",(860) 745-4222,,,https://www.trustedchoice.com/agency-profile/1419503/koverage-insurance-group-llc/,55 Cherry St,Milford,CT,06460-8903,,0,0
"Assurance Associates, Inc.",(203) 878-8845,,,https://www.trustedchoice.com/agency-profile/159811/assurance-associates-inc/,3 Gulf St,Milford,CT,06460-4812,,0,0
Bafumi Ins Agcy,(860) 347-3530,,http://www.bafumi.com,https://www.trustedchoice.com/agency-profile/273689/bafumi-ins-agcy/,59 Broad St,Middletown,CT,06457-3204,,1,0
"Koverage Insurance Group, LLC",(860) 745-4222,,,https://www.trustedchoice.com/agency-profile/1419504/koverage-insurance-group-llc/,116 Washington St,Middletown,CT,06457-2818,,0,0
Ferguson & McGuire,(203) 265-5681,,,https://www.trustedchoice.com/agency-profile/1408545/ferguson-mcguire/,11 Masons Island Rd Ste 3,Mystic,CT,06355-2976,,0,0
"Sinclair Ins. Grp, Inc",(203) 284-3215,,,https://www.trustedchoice.com/agency-profile/1414771/sinclair-ins-grp-inc/,83 East Ave Ste 210,Norwalk,CT,06851-4902,,0,0
Peconic Insurance,(844) 702-4215,melvin.rivera1964@gmail.com,http://www.peconicins.com,https://www.trustedchoice.com/agency-profile/1328444/peconic-insurance/,36 Anthony Rd,New London,CT,06320,2010,0,0
Beecher Carlson Ins. Services Inc.,(860) 434-0832,,http://www.beechercarlson.com,https://www.trustedchoice.com/agency-profile/771032/beecher-carlson-ins-services-inc/,914 Hartford Tpke Ste 204,Waterford,CT,06385-4276,,0,0
"Shoff Darby Companies, Inc - Duplicate",(203) 354-6200,,,https://www.trustedchoice.com/agency-profile/1374352/shoff-darby-companies-inc-duplicate/,PO Box 850,Norwalk,CT,06852-0850,,0,0
USI Insurance Services LLC,(203) 854-3429,,http://www.firstniagara.com,https://www.trustedchoice.com/agency-profile/1213483/usi-insurance-services-llc/,40 Richards Ave Ste 5,Norwalk,CT,06854-2320,,0,0
Shoff Darby Companies Inc.,(844) 385-6355,pierzw@shoffdarby.com,http://www.ShoffDarby.com,https://www.trustedchoice.com/agency-profile/104121/shoff-darby-companies-inc/,488 Main Ave Ste 3,Norwalk,CT,06851-1008,1887,1,1
"Raccio Insurance Agency, Inc.",(203) 281-3071,,,https://www.trustedchoice.com/agency-profile/103955/raccio-insurance-agency-inc/,1960 Whitney Ave,Hamden,CT,06517-1200,,0,0
North Haven Insurance Group,(203) 288-8429,,,https://www.trustedchoice.com/agency-profile/103977/north-haven-insurance-group/,193 State St,North Haven,CT,06473-2214,,0,0
Marchetti Brown & Bishop,(203) 288-3401,,http://www.mbi-ins.com,https://www.trustedchoice.com/agency-profile/831615/marchetti-brown-bishop/,280 State St Ste 201,North Haven,CT,06473-6103,,1,1
Associated Insurance Agencies Inc.,(844) 521-0019,joseph.bishop@mbi-ins.com,http://www.mbi-ins.com,https://www.trustedchoice.com/agency-profile/103897/associated-insurance-agencies-inc/,280 State St,North Haven,CT,06473-6103,1926,1,1
"Atlantic Insurance, Inc. an Affiliate of Smith Brothers Insurance",(860) 447-3354,info@atlanticinsurance.com,http://www.smithbrothersusa.com,https://www.trustedchoice.com/agency-profile/154747/atlantic-insurance-inc-an-affiliate-of-smith-brothers-insurance/,377 Main St,Niantic,CT,06357,1976,0,0
"Brown & Brown of CT, Inc.",(860) 739-3322,mmeeneghan@smithins.com,http://www.smithins.com,https://www.trustedchoice.com/agency-profile/103807/brown-brown-of-ct-inc/,15 Liberty Way Ste D,Niantic,CT,06357-1000,1938,0,0
"The Reardon Agency, Inc.",(860) 442-1396,sreardon@reardonagency.com,http://www.reardonagency.com,https://www.trustedchoice.com/agency-profile/103811/the-reardon-agency-inc/,26 Clark Ln Ste A,Waterford,CT,06385-2329,1967,1,0
Portsmouth Atlantic Insurance,(203) 402-8675,jmerwin@portsmouthatlanticins.com,https://portsmouthatlanticins.com/,https://www.trustedchoice.com/agency-profile/1307652/portsmouth-atlantic-insurance/,2212 Elm Street,Stratford,CT,06615,2005,1,1
Smith Brothers Insurance LLC,(860) 447-3354,,http://www.smithbrothersusa.com,https://www.trustedchoice.com/agency-profile/1350780/smith-brothers-insurance-llc/,377 Main St Ste 103,Niantic,CT,06357-3174,,0,0
Standard Insurance Agency,(120) 333-4553,,,https://www.trustedchoice.com/agency-profile/711733/standard-insurance-agency/,299 Bishop Ave,Bridgeport,CT,06610-3056,,0,0
Manzi Insurance of Newtown,(203) 426-2273,,http://www.manziins.com,https://www.trustedchoice.com/agency-profile/103813/manzi-insurance-of-newtown/,34 Church Hill Rd Ste 3,Newtown,CT,06470-1645,,0,0
Berry Insurance Associates,(860) 233-3119,,,https://www.trustedchoice.com/agency-profile/316924/berry-insurance-associates/,1052 New Britain Ave Ste 1,West Hartford,CT,06110-2422,,0,0
"Thomas Fahy Insurance Agency, Inc.",(860) 232-1330,support@trustedchoice.com,http://www.fahyinsurance.com,https://www.trustedchoice.com/agency-profile/103625/thomas-fahy-insurance-agency-inc/,433 S Main St Ste 118,West Hartford,CT,06110-2816,,0,0
"Shimkus, Murphy & Lemkuil, Inc.",(860) 249-1396,,http://www.shimkuscompanies.com,https://www.trustedchoice.com/agency-profile/103608/shimkus-murphy-lemkuil-inc/,380 New Britain Ave,Hartford,CT,06106-3832,,0,1
"The Kerin Agency, Inc.",(860) 953-6881,,http://www.kerinagency.com,https://www.trustedchoice.com/agency-profile/103630/the-kerin-agency-inc/,131 Day Street,Newington,CT,06111,,0,0
Housatonic Valley Insurance Agency,(860) 354-5551,sharon@hvinsurance.com,http://www.hvinsurance.com,https://www.trustedchoice.com/agency-profile/104030/housatonic-valley-insurance-agency/,6 Main St,New Milford,CT,06776,,0,0
"Nicholas Tobin, Inc.",(844) 480-9695,Vattanasio@ntins.com,http://www.ntins.com,https://www.trustedchoice.com/agency-profile/104034/nicholas-tobin-inc/,111 Danbury Rd,New Milford,CT,06776-3413,1983,1,0
Swanson Insurance,(860) 443-1500,,,https://www.trustedchoice.com/agency-profile/730896/swanson-insurance/,210 Boston Post Rd,Waterford,CT,06385-2819,,0,0
"Morrison Insurance Agency, Inc.",(844) 720-9694,bill@morrisoninsurance.com,http://www.morrisoninsurance.com,https://www.trustedchoice.com/agency-profile/140552/morrison-insurance-agency-inc/,580 Tunxis Hill Road ,Fairfield,CT,06825,,0,0
Ronald J Henry Co,(203) 259-5269,,,https://www.trustedchoice.com/agency-profile/103844/ronald-j-henry-co/,1675 Post Rd,Fairfield,CT,06824-5755,,0,0
"Hatfield Insurance Agency, Inc.",(203) 256-5660,,http://www.hatfieldinsuranceagency.com,https://www.trustedchoice.com/agency-profile/103985/hatfield-insurance-agency-inc/,1735 Post Rd Ste 5,Fairfield,CT,06824-5700,,0,0
Highline Risk Solutions LLC,(203) 292-0759,,,https://www.trustedchoice.com/agency-profile/1224789/highline-risk-solutions-llc/,1432 Post Rd Fl 2,Fairfield,CT,06824-5930,,0,0
"DeLong Associates, Inc.",(610) 780-1640,,http://www.delongassociates.com,https://www.trustedchoice.com/agency-profile/283131/delong-associates-inc/,2389 Main St,Glastonbury,CT,06033,,0,0
Carrier-Ripley Insurance,(860) 633-4611,,,https://www.trustedchoice.com/agency-profile/103482/carrier-ripley-insurance/,150 Sycamore St Ste C,Glastonbury,CT,06033-2295,,0,0
"The Geo. Goodman Agency, Inc.",(860) 721-7787,,,https://www.trustedchoice.com/agency-profile/159034/the-geo-goodman-agency-inc/,842 Silas Deane Hwy,Wethersfield,CT,06109-3412,,0,0
Ferguson & McGuire,(203) 966-1679,,,https://www.trustedchoice.com/agency-profile/1345405/ferguson-mcguire/,252 Post Rd E,Westport,CT,06880-3614,,0,0
Benson-Quinlan Insurance Agency Inc.,(203) 227-8448,,,https://www.trustedchoice.com/agency-profile/104137/benson-quinlan-insurance-agency-inc/,180 Post Rd E Ste 204,Westport,CT,06880-3414,,0,0
USI Insurance Services. LLC,(203) 854-3429,,http://www.firstniagara.com,https://www.trustedchoice.com/agency-profile/1340606/usi-insurance-services-llc/,33 Riverside Ave Ste 401,Westport,CT,06880-4244,,0,0
Westport Ins Ctr Inc,(203) 227-5132,,,https://www.trustedchoice.com/agency-profile/104138/westport-ins-ctr-inc/,246 Post Rd E Ste 306,Westport,CT,06880-3627,,0,0
"Anderson-Meyer Insurance, Inc.",(860) 659-3741,,http://www.anderson-meyer.com,https://www.trustedchoice.com/agency-profile/103480/anderson-meyer-insurance-inc/,136 New London Tpke,Glastonbury,CT,06033-2234,,0,0
"Cross Insurance, Inc Connecticut",(203) 655-6974,,,https://www.trustedchoice.com/agency-profile/1415633/cross-insurance-inc-connecticut/,155 Post Rd E,Westport,CT,06880-3412,,0,0
"ACA Club Insurance Agency, Inc.",(860) 570-4390,,,https://www.trustedchoice.com/agency-profile/354973/aca-club-insurance-agency-inc/,815 Farmington Ave,West Hartford,CT,06119-1559,,0,0
Bouvier Insurance (DUPLICATE),(860) 643-1126,sgendron@binsurance.com,http://www.binsurance.com,https://www.trustedchoice.com/agency-profile/415125/bouvier-insurance-duplicate/,29 North Main St,West Hartford,CT,06107,1959,0,0
"The Connors Agency, Inc.",(860) 561-6191,,,https://www.trustedchoice.com/agency-profile/103653/the-connors-agency-inc/,1033 Farmington Ave,West Hartford,CT,06107-2108,,0,0
Woodford Insurance - Assured Partners,(860) 236-5861,,,https://www.trustedchoice.com/agency-profile/1338324/woodford-insurance-assured-partners/,10 N Main St # 1,West Hartford,CT,06107-1968,,0,0
Dan Berman Agency,(860) 523-0948,,,https://www.trustedchoice.com/agency-profile/771337/dan-berman-agency/,998 Farmington Avenue (212),West Hartford,CT,06107,,0,0
"Alton E. Woodford, Inc.",(860) 236-5861,nsmith@aewoodford.com,http://www.aewoodford.com,https://www.trustedchoice.com/agency-profile/103618/alton-e-woodford-inc/,10 N Main St Ste 1,West Hartford,CT,06107-1968,1911,0,0
"Bouvier Beckwith & Lennox, Inc.",(860) 232-4491,kwalters@binsurance.com,http://www.binsurance.com,https://www.trustedchoice.com/agency-profile/103622/bouvier-beckwith-lennox-inc/,29 N Main St Fl Bsmt,West Hartford,CT,06107-1933,1959,0,0
"Michael J. Keating Agency, Inc.",(844) 395-7062,mfkeating@keatinginsurance.com,http://www.keatingagency.com,https://www.trustedchoice.com/agency-profile/103621/michael-j-keating-agency-inc/,10 Arapahoe Rd,West Hartford,CT,06107-2701,1969,1,0
Grande Insurance Agency,(860) 233-5549,,,https://www.trustedchoice.com/agency-profile/1328959/grande-insurance-agency/,993 Farmington Ave Ste 202,West Hartford,CT,06107-2189,,0,0
Fraleigh & Gray Inc.,(860) 633-1880,chrism@fraleigh-gray.com,http://www.fraleigh-gray.com,https://www.trustedchoice.com/agency-profile/137950/fraleigh-gray-inc/,2450 Main St Ste 9,Glastonbury,CT,06033,1974,1,0
Eastern Insurance Associates,(860) 456-1996,,,https://www.trustedchoice.com/agency-profile/248798/eastern-insurance-associates/,6 Storrs Rd Ste 4,Willimantic,CT,06226-4006,,0,0
"Sumner & Sumner, Inc.",(860) 423-7733,,http://www.sumnerandsumner.com,https://www.trustedchoice.com/agency-profile/103755/sumner-sumner-inc/,757 Main St,Willimantic,CT,06226-2503,,0,0
"Wagner-McNeil, Inc.",(860) 435-2507,,http://www.wagnermcneil.com,https://www.trustedchoice.com/agency-profile/303873/wagner-mcneil-inc/,12 Millerton Rd,Lakeville,CT,06039-1400,,0,0
AssuredPartners Northeast LLC,(914) 761-9000,,,https://www.trustedchoice.com/agency-profile/1407553/assuredpartners-northeast-llc/,12 Millerton Rd,Lakeville,CT,06039-1400,,0,0
Manzi Insurance,(203) 263-8881,,,https://www.trustedchoice.com/agency-profile/1406865/manzi-insurance/,PO Box 693,Woodbury,CT,06798-0693,,0,0
Woodbury Insurance Agency/Ferguson & McGuire,(203) 263-4391,,http://www.woodburyinsurance.net,https://www.trustedchoice.com/agency-profile/104048/woodbury-insurance-agency-ferguson-mcguire/,224 Main St S,Woodbury,CT,06798,,0,0
Raymond E. Manzi Associates LLC,(203) 263-8881,,http://www.manziins.com,https://www.trustedchoice.com/agency-profile/392589/raymond-e-manzi-associates-llc/,215 Main St S,Woodbury,CT,06798-3440,,0,0
The SIG Insurance Agencies,(203) 248-6337,brogers@findsig.com,https://www.findsig.com/,https://www.trustedchoice.com/agency-profile/1341004/the-sig-insurance-agencies/,1384 Dixwell Ave,Hamden,CT,06514,,1,1
